*i,month,r,value
hydD,JUL,p34,0.893
hydD,JUL,p35,0.925
hydD,JUL,p36,0.902
hydD,JUL,p38,0.832
hydD,JUL,p39,0.888
hydD,JUL,p4,0.854
hydD,JUL,p40,0.907
hydD,JUL,p41,0.869
hydD,JUL,p42,0.706
hydD,JUL,p43,0.751
hydD,JUL,p44,0.737
hydD,JUL,p45,0.862
hydD,JUL,p46,0.693
hydD,JUL,p48,0.838
hydD,JUL,p5,0.463
hydD,JUL,p50,0.65
hydD,JUL,p51,0.678
hydD,JUL,p52,0.939
hydD,JUL,p53,0.711
hydD,JUL,p54,0.84
hydD,JUL,p55,0.546
hydD,JUL,p56,0.552
hydD,JUL,p57,0.409
hydD,JUL,p58,0.425
hydD,JUL,p59,0.897
hydD,JUL,p6,0.317
hydD,JUL,p61,0.892
hydD,JUL,p63,0.478
hydD,JUL,p64,0.522
hydD,JUL,p65,0.764
hydD,JUL,p66,0.399
hydD,JUL,p67,0.455
hydD,JUL,p68,0.725
hydD,JUL,p69,0.759
hydD,JUL,p7,0.943
hydD,JUL,p70,0.725
hydD,JUL,p71,0.665
hydD,JUL,p72,0.793
hydD,JUL,p73,0.414
hydD,JUL,p74,0.793
hydD,JUL,p75,0.746
hydD,JUL,p76,0.713
hydD,JUL,p77,0.732
hydD,JUL,p78,0.645
hydD,JUL,p8,0.624
hydD,JUL,p80,0.612
hydD,JUL,p81,0.667
hydD,JUL,p82,0.428
hydD,JUL,p83,0.507
hydD,JUL,p84,0.455
hydD,JUL,p85,0.497
hydD,JUL,p86,0.315
hydD,JUL,p87,0.36
hydD,JUL,p88,0.357
hydD,JUL,p89,0.379
hydD,JUL,p9,0.615
hydD,JUL,p90,0.479
hydD,JUL,p91,0.558
hydD,JUL,p92,0.51
hydD,JUL,p93,0.344
hydD,JUL,p94,0.552
hydD,JUL,p95,0.579
hydD,JUL,p96,0.57
hydD,JUL,p97,0.589
hydD,JUL,p98,0.466
hydD,JUL,p99,0.453
hydD,JUN,p1,0.624
hydD,JUN,p10,0.839
hydD,JUN,p100,0.494
hydD,JUN,p101,0.526
hydD,JUN,p103,0.47
hydD,JUN,p104,0.61
hydD,JUN,p105,0.551
hydD,JUN,p106,0.485
hydD,JUN,p107,0.501
hydD,JUN,p108,0.309
hydD,JUN,p109,0.314
hydD,JUN,p110,0.36
hydD,JUN,p111,0.45
hydD,JUN,p112,0.475
hydD,JUN,p113,0.52
hydD,JUN,p114,0.496
hydD,JUN,p115,0.415
hydD,JUN,p116,0.389
hydD,JUN,p117,0.395
hydD,JUN,p118,0.506
hydD,JUN,p119,0.36
hydD,JUN,p12,0.775
hydD,JUN,p121,0.418
hydD,JUN,p122,0.385
hydD,JUN,p123,0.426
hydD,JUN,p126,0.488
hydD,JUN,p127,0.424
hydD,JUN,p129,0.495
hydD,JUN,p130,0.537
hydD,JUN,p131,0.453
hydD,JUN,p132,0.434
hydD,JUN,p134,0.574
hydD,JUN,p14,0.746
hydD,JUN,p15,0.852
hydD,JUN,p16,0.962
hydD,JUN,p17,0.821
hydD,JUN,p18,0.917
hydD,JUN,p19,0.916
hydD,JUN,p2,0.63
hydD,JUN,p20,0.94
hydD,JUN,p21,0.955
hydD,JUN,p24,0.86
hydD,JUN,p25,0.772
hydD,JUN,p26,0.837
hydD,JUN,p27,0.852
hydD,JUN,p28,0.742
hydD,JUN,p3,0.754
