name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p60~~p63,100000,0,VSC,0,-100.4866502,33.41132391,-97.11394036,32.36521363
z134:p61~~p62,100000,0,VSC,0,-102.52534008,30.80627576,-102.35242639,31.79268173
z134:p61~~p63,100000,0,VSC,0,-102.52534008,30.80627576,-97.11394036,32.36521363
z134:p61~~p64,100000,0,VSC,0,-102.52534008,30.80627576,-98.03214389,30.15101252
z134:p61~~p65,100000,0,VSC,0,-102.52534008,30.80627576,-98.34182956,28.123855
z134:p63~~p64,100000,0,VSC,0,-97.11394036,32.36521363,-98.03214389,30.15101252
z134:p63~~p67,100000,0,VSC,0,-97.11394036,32.36521363,-95.44616626,29.53576642
z134:p64~~p65,100000,0,VSC,0,-98.03214389,30.15101252,-98.34182956,28.123855
z134:p64~~p67,100000,0,VSC,0,-98.03214389,30.15101252,-95.44616626,29.53576642
z134:p65~~p67,100000,0,VSC,0,-98.34182956,28.123855,-95.44616626,29.53576642
z134:p66~~p86,100000,0,VSC,0,-94.50491404,30.70473578,-91.93563781,32.55385405
z134:p68~~p69,100000,0,VSC,0,-93.78878598,43.84993423,-92.13437773,42.92060401
z134:p68~~p77,100000,0,VSC,0,-93.78878598,43.84993423,-90.52129625,43.41085624
z134:p69~~p70,100000,0,VSC,0,-92.13437773,42.92060401,-92.64864641,41.54815458
z134:p69~~p77,100000,0,VSC,0,-92.13437773,42.92060401,-90.52129625,43.41085624
z134:p70~~p71,100000,0,VSC,0,-92.64864641,41.54815458,-92.08030575,39.98046911
z134:p70~~p77,100000,0,VSC,0,-92.64864641,41.54815458,-90.52129625,43.41085624
z134:p70~~p80,100000,0,VSC,0,-92.64864641,41.54815458,-88.78740634,41.76755631
z134:p70~~p81,100000,0,VSC,0,-92.64864641,41.54815458,-89.78738098,39.32261591
z134:p71~~p72,100000,0,VSC,0,-92.08030575,39.98046911,-91.35906588,38.50342187
z134:p71~~p81,100000,0,VSC,0,-92.08030575,39.98046911,-89.78738098,39.32261591
z134:p72~~p73,100000,0,VSC,0,-91.35906588,38.50342187,-91.04678156,37.68104225
z134:p72~~p81,100000,0,VSC,0,-91.35906588,38.50342187,-89.78738098,39.32261591
z134:p72~~p84,100000,0,VSC,0,-91.35906588,38.50342187,-91.29496646,37.06420364
z134:p73~~p84,100000,0,VSC,0,-91.04678156,37.68104225,-91.29496646,37.06420364
z134:p74~~p75,100000,0,VSC,0,-88.14757936,46.39738399,-88.85996946,45.20926475
z134:p74~~p103,100000,0,VSC,0,-88.14757936,46.39738399,-84.61125526,43.8762499
z134:p75~~p76,100000,0,VSC,0,-88.85996946,45.20926475,-89.1038466,44.08576245
z134:p75~~p79,100000,0,VSC,0,-88.85996946,45.20926475,-88.27152587,43.06703833
z134:p76~~p77,100000,0,VSC,0,-89.1038466,44.08576245,-90.52129625,43.41085624
z134:p76~~p78,100000,0,VSC,0,-89.1038466,44.08576245,-89.36143047,42.86563989
z134:p76~~p79,100000,0,VSC,0,-89.1038466,44.08576245,-88.27152587,43.06703833
z134:p77~~p78,100000,0,VSC,0,-90.52129625,43.41085624,-89.36143047,42.86563989
z134:p77~~p80,100000,0,VSC,0,-90.52129625,43.41085624,-88.78740634,41.76755631
z134:p78~~p79,100000,0,VSC,0,-89.36143047,42.86563989,-88.27152587,43.06703833
z134:p78~~p80,100000,0,VSC,0,-89.36143047,42.86563989,-88.78740634,41.76755631
z134:p79~~p80,100000,0,VSC,0,-88.27152587,43.06703833,-88.78740634,41.76755631
z134:p80~~p81,100000,0,VSC,0,-88.78740634,41.76755631,-89.78738098,39.32261591
z134:p80~~p82,100000,0,VSC,0,-88.78740634,41.76755631,-89.50352109,40.41209835
z134:p80~~p83,100000,0,VSC,0,-88.78740634,41.76755631,-88.31387435,39.72790165
z134:p80~~p105,100000,0,VSC,0,-88.78740634,41.76755631,-86.25403168,40.72629479
z134:p81~~p82,100000,0,VSC,0,-89.78738098,39.32261591,-89.50352109,40.41209835
z134:p81~~p83,100000,0,VSC,0,-89.78738098,39.32261591,-88.31387435,39.72790165
z134:p81~~p93,100000,0,VSC,0,-89.78738098,39.32261591,-86.89318135,36.88838161
z134:p81~~p107,100000,0,VSC,0,-89.78738098,39.32261591,-86.32272656,38.88485934
